Country,Region,Year,GDP_Billion_USD,Latitude,Longitude
Estonia,Europe,2021,30.02,58.5953,25.0136
Algeria,Africa,2018,190.866,28.0339,1.6596
Estonia,Europe,2004,21.247,58.5953,25.0136
Belgium,Europe,2014,323.694,50.5039,4.4699
Romania,Europe,2004,128.609,45.9432,24.9668
Romania,Europe,2006,137.066,45.9432,24.9668
Algeria,Africa,2022,198.835,28.0339,1.6596
Bhutan,South Asia,2008,2.547,27.5142,90.4336
India,South Asia,2009,1020.667,20.5937,78.9629
Bhutan,South Asia,2017,4.232,27.5142,90.4336
Fiji,Oceania,2005,3.384,-17.7134,178.065
Fiji,Oceania,2017,4.252,-17.7134,178.065
Costa Rica,Central America,2012,27.477,9.7489,-83.7534
Romania,Europe,2018,197.033,45.9432,24.9668
Costa Rica,Central America,2014,25.564,9.7489,-83.7534
Belgium,Europe,2021,383.352,50.5039,4.4699
Singapore,Asia,2013,271.524,1.3521,103.8198
Bhutan,South Asia,2008,2.275,27.5142,90.4336
Bhutan,South Asia,2004,2.136,27.5142,90.4336
Bhutan,South Asia,2019,4.755,27.5142,90.4336
Romania,Europe,2017,195.09,45.9432,24.9668
Algeria,Africa,2005,159.577,28.0339,1.6596
Belgium,Europe,2016,331.382,50.5039,4.4699
Nepal,South Asia,2009,7.948,28.3949,84.124
Costa Rica,Central America,2021,35.419,9.7489,-83.7534
Romania,Europe,2025,221.736,45.9432,24.9668
Mexico,North America,2015,1190.529,23.6345,-102.5528
Costa Rica,Central America,2008,26.151,9.7489,-83.7534
Mexico,North America,2019,1220.516,23.6345,-102.5528
Singapore,Asia,2013,256.479,1.3521,103.8198
Mexico,North America,2007,974.313,23.6345,-102.5528
Fiji,Oceania,2009,3.52,-17.7134,178.065
Belgium,Europe,2020,361.661,50.5039,4.4699
Singapore,Asia,2012,235.948,1.3521,103.8198
India,South Asia,2008,872.842,20.5937,78.9629
Mexico,North America,2007,957.404,23.6345,-102.5528
Belgium,Europe,2022,377.831,50.5039,4.4699
Fiji,Oceania,2016,4.231,-17.7134,178.065
Belgium,Europe,2023,374.66,50.5039,4.4699
Fiji,Oceania,2020,4.501,-17.7134,178.065
India,South Asia,2015,1667.618,20.5937,78.9629
India,South Asia,2014,1540.558,20.5937,78.9629
Costa Rica,Central America,2008,24.621,9.7489,-83.7534
Bhutan,South Asia,2019,5.009,27.5142,90.4336
Estonia,Europe,2014,23.493,58.5953,25.0136
Nepal,South Asia,2011,8.657,28.3949,84.124
Fiji,Oceania,2017,4.581,-17.7134,178.065
Estonia,Europe,2006,22.644,58.5953,25.0136
Fiji,Oceania,2010,3.651,-17.7134,178.065
India,South Asia,2014,1590.796,20.5937,78.9629
Estonia,Europe,2022,30.612,58.5953,25.0136
Nepal,South Asia,2022,14.747,28.3949,84.124
Mexico,North America,2023,1273.227,23.6345,-102.5528
Romania,Europe,2018,186.451,45.9432,24.9668
Bhutan,South Asia,2008,2.488,27.5142,90.4336
Algeria,Africa,2004,140.589,28.0339,1.6596
India,South Asia,2012,1336.071,20.5937,78.9629
India,South Asia,2018,2058.029,20.5937,78.9629
Singapore,Asia,2008,217.504,1.3521,103.8198
Mexico,North America,2005,978.199,23.6345,-102.5528
Romania,Europe,2021,208.063,45.9432,24.9668
Romania,Europe,2010,159.935,45.9432,24.9668
Belgium,Europe,2021,377.813,50.5039,4.4699
Singapore,Asia,2022,377.885,1.3521,103.8198
India,South Asia,2013,1348.517,20.5937,78.9629
Algeria,Africa,2014,169.33,28.0339,1.6596
India,South Asia,2010,989.331,20.5937,78.9629
Costa Rica,Central America,2018,31.139,9.7489,-83.7534
Belgium,Europe,2004,313.796,50.5039,4.4699
Fiji,Oceania,2007,3.408,-17.7134,178.065
Singapore,Asia,2004,166.469,1.3521,103.8198
Estonia,Europe,2005,21.523,58.5953,25.0136
Fiji,Oceania,2017,4.426,-17.7134,178.065
Fiji,Oceania,2023,5.687,-17.7134,178.065
Nepal,South Asia,2026,18.785,28.3949,84.124
Algeria,Africa,2008,146.902,28.0339,1.6596
India,South Asia,2021,2468.844,20.5937,78.9629
Estonia,Europe,2006,21.588,58.5953,25.0136
Costa Rica,Central America,2007,25.665,9.7489,-83.7534
Algeria,Africa,2018,168.824,28.0339,1.6596
Belgium,Europe,2020,362.594,50.5039,4.4699
Mexico,North America,2019,1159.61,23.6345,-102.5528
Mexico,North America,2026,1363.046,23.6345,-102.5528
Estonia,Europe,2025,34.115,58.5953,25.0136
Romania,Europe,2019,181.214,45.9432,24.9668
Bhutan,South Asia,2014,3.682,27.5142,90.4336
Estonia,Europe,2006,20.114,58.5953,25.0136
Singapore,Asia,2023,343.849,1.3521,103.8198
Algeria,Africa,2025,210.041,28.0339,1.6596
Nepal,South Asia,2020,13.649,28.3949,84.124
Algeria,Africa,2017,179.866,28.0339,1.6596
Romania,Europe,2008,142.965,45.9432,24.9668
Singapore,Asia,2024,397.514,1.3521,103.8198
Fiji,Oceania,2007,3.199,-17.7134,178.065
Fiji,Oceania,2014,4.248,-17.7134,178.065
Singapore,Asia,2025,408.479,1.3521,103.8198
Estonia,Europe,2024,29.646,58.5953,25.0136
India,South Asia,2023,2890.64,20.5937,78.9629
Romania,Europe,2021,227.515,45.9432,24.9668
Romania,Europe,2026,244.705,45.9432,24.9668
Nepal,South Asia,2021,14.124,28.3949,84.124
Nepal,South Asia,2018,12.281,28.3949,84.124
Nepal,South Asia,2006,7.183,28.3949,84.124
Fiji,Oceania,2016,4.285,-17.7134,178.065
Nepal,South Asia,2013,9.117,28.3949,84.124
Costa Rica,Central America,2022,37.502,9.7489,-83.7534
Estonia,Europe,2022,28.891,58.5953,25.0136
Estonia,Europe,2011,26.548,58.5953,25.0136
Costa Rica,Central America,2010,25.028,9.7489,-83.7534
Mexico,North America,2014,1046.916,23.6345,-102.5528
Estonia,Europe,2019,28.559,58.5953,25.0136
India,South Asia,2010,1085.155,20.5937,78.9629
Estonia,Europe,2024,30.961,58.5953,25.0136
Singapore,Asia,2017,291.709,1.3521,103.8198
Fiji,Oceania,2021,4.779,-17.7134,178.065
Estonia,Europe,2007,21.555,58.5953,25.0136
Singapore,Asia,2021,322.274,1.3521,103.8198
Romania,Europe,2005,121.998,45.9432,24.9668
Mexico,North America,2015,1133.118,23.6345,-102.5528
Belgium,Europe,2008,298.732,50.5039,4.4699
Bhutan,South Asia,2008,2.435,27.5142,90.4336
Costa Rica,Central America,2022,31.405,9.7489,-83.7534
Nepal,South Asia,2023,14.705,28.3949,84.124
Mexico,North America,2006,956.007,23.6345,-102.5528
Nepal,South Asia,2007,6.635,28.3949,84.124
Algeria,Africa,2012,158.907,28.0339,1.6596
Nepal,South Asia,2014,9.543,28.3949,84.124
Estonia,Europe,2021,31.595,58.5953,25.0136
Singapore,Asia,2014,262.982,1.3521,103.8198
Romania,Europe,2023,217.772,45.9432,24.9668
Nepal,South Asia,2026,16.971,28.3949,84.124
Nepal,South Asia,2010,7.623,28.3949,84.124
Romania,Europe,2018,187.7,45.9432,24.9668
Mexico,North America,2009,1049.767,23.6345,-102.5528
Costa Rica,Central America,2008,26.03,9.7489,-83.7534
Algeria,Africa,2004,155.094,28.0339,1.6596
Fiji,Oceania,2019,4.688,-17.7134,178.065
Romania,Europe,2008,149.738,45.9432,24.9668
Fiji,Oceania,2014,3.736,-17.7134,178.065
Mexico,North America,2023,1275.583,23.6345,-102.5528
Singapore,Asia,2013,240.043,1.3521,103.8198
Mexico,North America,2015,1160.611,23.6345,-102.5528
India,South Asia,2004,683.32,20.5937,78.9629
Singapore,Asia,2017,290.165,1.3521,103.8198
Mexico,North America,2022,1299.266,23.6345,-102.5528
Nepal,South Asia,2021,12.072,28.3949,84.124
Nepal,South Asia,2006,6.49,28.3949,84.124
Costa Rica,Central America,2010,25.184,9.7489,-83.7534
Nepal,South Asia,2011,9.307,28.3949,84.124
Costa Rica,Central America,2017,28.973,9.7489,-83.7534
Romania,Europe,2015,175.163,45.9432,24.9668
Algeria,Africa,2026,211.445,28.0339,1.6596
India,South Asia,2005,736.151,20.5937,78.9629
Romania,Europe,2014,176.444,45.9432,24.9668
Singapore,Asia,2016,276.911,1.3521,103.8198
Bhutan,South Asia,2020,5.243,27.5142,90.4336
Bhutan,South Asia,2016,3.894,27.5142,90.4336
Algeria,Africa,2006,156.083,28.0339,1.6596
Singapore,Asia,2015,275.016,1.3521,103.8198
Algeria,Africa,2009,182.081,28.0339,1.6596
Nepal,South Asia,2012,9.062,28.3949,84.124
India,South Asia,2017,1874.704,20.5937,78.9629
Romania,Europe,2007,142.873,45.9432,24.9668
Estonia,Europe,2017,27.183,58.5953,25.0136
Singapore,Asia,2013,244.237,1.3521,103.8198
Nepal,South Asia,2008,7.336,28.3949,84.124
India,South Asia,2014,1390.261,20.5937,78.9629
Bhutan,South Asia,2010,2.883,27.5142,90.4336
Nepal,South Asia,2019,12.247,28.3949,84.124
Fiji,Oceania,2016,4.165,-17.7134,178.065
Singapore,Asia,2009,199.633,1.3521,103.8198
Mexico,North America,2010,897.764,23.6345,-102.5528
Romania,Europe,2011,156.22,45.9432,24.9668
Algeria,Africa,2007,171.506,28.0339,1.6596
India,South Asia,2013,1308.716,20.5937,78.9629
Romania,Europe,2024,225.879,45.9432,24.9668
Fiji,Oceania,2017,4.429,-17.7134,178.065
India,South Asia,2007,953.2,20.5937,78.9629
Belgium,Europe,2015,347.774,50.5039,4.4699
Fiji,Oceania,2004,3.072,-17.7134,178.065
Fiji,Oceania,2024,5.213,-17.7134,178.065
Romania,Europe,2025,253.171,45.9432,24.9668
Mexico,North America,2009,947.905,23.6345,-102.5528
Fiji,Oceania,2010,3.561,-17.7134,178.065
Mexico,North America,2017,1138.174,23.6345,-102.5528
Fiji,Oceania,2020,5.011,-17.7134,178.065
Romania,Europe,2026,236.978,45.9432,24.9668
Romania,Europe,2005,137.848,45.9432,24.9668
Costa Rica,Central America,2006,23.912,9.7489,-83.7534
India,South Asia,2012,1283.547,20.5937,78.9629
Mexico,North America,2017,1246.655,23.6345,-102.5528
India,South Asia,2006,847.422,20.5937,78.9629
India,South Asia,2006,798.81,20.5937,78.9629
Romania,Europe,2009,144.422,45.9432,24.9668
Estonia,Europe,2022,32.585,58.5953,25.0136
Costa Rica,Central America,2019,32.335,9.7489,-83.7534
Mexico,North America,2010,964.142,23.6345,-102.5528
Algeria,Africa,2012,162.462,28.0339,1.6596
Bhutan,South Asia,2013,3.498,27.5142,90.4336
Estonia,Europe,2019,28.6,58.5953,25.0136
Bhutan,South Asia,2011,2.911,27.5142,90.4336
India,South Asia,2005,770.173,20.5937,78.9629
Nepal,South Asia,2025,16.256,28.3949,84.124
India,South Asia,2020,2462.957,20.5937,78.9629
Mexico,North America,2015,1191.499,23.6345,-102.5528
Costa Rica,Central America,2019,31.911,9.7489,-83.7534
Costa Rica,Central America,2017,29.718,9.7489,-83.7534
Belgium,Europe,2019,366.541,50.5039,4.4699
Costa Rica,Central America,2008,25.638,9.7489,-83.7534
Estonia,Europe,2004,20.66,58.5953,25.0136
Singapore,Asia,2007,195.843,1.3521,103.8198
India,South Asia,2024,3420.841,20.5937,78.9629
Algeria,Africa,2011,149.803,28.0339,1.6596
Estonia,Europe,2010,22.942,58.5953,25.0136
Algeria,Africa,2005,142.581,28.0339,1.6596
Fiji,Oceania,2015,3.925,-17.7134,178.065
Nepal,South Asia,2005,6.356,28.3949,84.124
Belgium,Europe,2020,346.162,50.5039,4.4699
Singapore,Asia,2021,369.706,1.3521,103.8198
Bhutan,South Asia,2023,6.384,27.5142,90.4336
India,South Asia,2020,2323.236,20.5937,78.9629
Nepal,South Asia,2023,14.814,28.3949,84.124
Bhutan,South Asia,2021,5.988,27.5142,90.4336
Nepal,South Asia,2026,18.25,28.3949,84.124
Algeria,Africa,2005,153.036,28.0339,1.6596
Estonia,Europe,2018,26.82,58.5953,25.0136
Nepal,South Asia,2015,10.817,28.3949,84.124
Estonia,Europe,2007,20.871,58.5953,25.0136
Singapore,Asia,2021,345.438,1.3521,103.8198
Bhutan,South Asia,2025,6.497,27.5142,90.4336
Nepal,South Asia,2023,16.069,28.3949,84.124
Singapore,Asia,2008,224.309,1.3521,103.8198
Estonia,Europe,2014,24.01,58.5953,25.0136
Costa Rica,Central America,2010,25.115,9.7489,-83.7534
Costa Rica,Central America,2013,26.91,9.7489,-83.7534
Nepal,South Asia,2014,10.33,28.3949,84.124
Belgium,Europe,2023,330.085,50.5039,4.4699
Estonia,Europe,2021,30.622,58.5953,25.0136
Nepal,South Asia,2015,10.172,28.3949,84.124
Mexico,North America,2004,972.263,23.6345,-102.5528
Belgium,Europe,2014,343.126,50.5039,4.4699
Singapore,Asia,2008,208.365,1.3521,103.8198
Costa Rica,Central America,2010,26.909,9.7489,-83.7534
Fiji,Oceania,2013,3.827,-17.7134,178.065
Belgium,Europe,2024,355.007,50.5039,4.4699
Estonia,Europe,2025,33.393,58.5953,25.0136
Bhutan,South Asia,2025,6.822,27.5142,90.4336
Romania,Europe,2026,254.625,45.9432,24.9668
Singapore,Asia,2006,189.456,1.3521,103.8198
Fiji,Oceania,2025,5.204,-17.7134,178.065
Estonia,Europe,2012,24.518,58.5953,25.0136
Estonia,Europe,2014,25.032,58.5953,25.0136
Nepal,South Asia,2019,13.397,28.3949,84.124
Singapore,Asia,2021,335.736,1.3521,103.8198
Bhutan,South Asia,2016,4.067,27.5142,90.4336
Fiji,Oceania,2025,5.588,-17.7134,178.065
Belgium,Europe,2026,377.191,50.5039,4.4699
Fiji,Oceania,2019,4.715,-17.7134,178.065
Bhutan,South Asia,2008,2.382,27.5142,90.4336
Estonia,Europe,2009,22.691,58.5953,25.0136
Mexico,North America,2021,1288.529,23.6345,-102.5528
Romania,Europe,2009,156.481,45.9432,24.9668
Fiji,Oceania,2011,3.623,-17.7134,178.065
Estonia,Europe,2016,28.553,58.5953,25.0136
Singapore,Asia,2006,183.59,1.3521,103.8198
Fiji,Oceania,2004,2.934,-17.7134,178.065
Nepal,South Asia,2011,9.228,28.3949,84.124
Fiji,Oceania,2015,3.767,-17.7134,178.065
India,South Asia,2021,2704.661,20.5937,78.9629
India,South Asia,2024,3239.871,20.5937,78.9629
Romania,Europe,2017,198.962,45.9432,24.9668
Bhutan,South Asia,2025,6.799,27.5142,90.4336
Belgium,Europe,2019,348.969,50.5039,4.4699
India,South Asia,2021,2565.831,20.5937,78.9629
Bhutan,South Asia,2024,6.636,27.5142,90.4336
Bhutan,South Asia,2017,4.378,27.5142,90.4336
Algeria,Africa,2022,199.57,28.0339,1.6596
Romania,Europe,2009,137.575,45.9432,24.9668
Costa Rica,Central America,2023,33.733,9.7489,-83.7534
Nepal,South Asia,2009,7.14,28.3949,84.124
Algeria,Africa,2023,189.381,28.0339,1.6596
Costa Rica,Central America,2023,35.285,9.7489,-83.7534
Fiji,Oceania,2015,3.781,-17.7134,178.065
Romania,Europe,2014,166.167,45.9432,24.9668
Nepal,South Asia,2023,13.859,28.3949,84.124
Algeria,Africa,2010,178.503,28.0339,1.6596
Nepal,South Asia,2005,5.636,28.3949,84.124
Bhutan,South Asia,2005,2.212,27.5142,90.4336
Algeria,Africa,2013,158.722,28.0339,1.6596
Bhutan,South Asia,2009,2.508,27.5142,90.4336
Singapore,Asia,2008,199.413,1.3521,103.8198
Singapore,Asia,2012,244.07,1.3521,103.8198
Mexico,North America,2019,1045.305,23.6345,-102.5528
Bhutan,South Asia,2020,5.087,27.5142,90.4336
Costa Rica,Central America,2018,31.061,9.7489,-83.7534
Belgium,Europe,2012,351.797,50.5039,4.4699
Nepal,South Asia,2010,8.226,28.3949,84.124
Mexico,North America,2018,1166.328,23.6345,-102.5528
Nepal,South Asia,2016,10.34,28.3949,84.124
Singapore,Asia,2017,286.441,1.3521,103.8198
Algeria,Africa,2004,155.676,28.0339,1.6596
Costa Rica,Central America,2021,33.644,9.7489,-83.7534
Mexico,North America,2013,1086.787,23.6345,-102.5528
Belgium,Europe,2012,340.139,50.5039,4.4699
Belgium,Europe,2008,337.688,50.5039,4.4699
India,South Asia,2009,1026.887,20.5937,78.9629
Algeria,Africa,2020,203.482,28.0339,1.6596
Belgium,Europe,2011,323.17,50.5039,4.4699
Singapore,Asia,2008,218.113,1.3521,103.8198
Mexico,North America,2014,1022.621,23.6345,-102.5528
Belgium,Europe,2026,366.674,50.5039,4.4699
Belgium,Europe,2020,380.799,50.5039,4.4699
Bhutan,South Asia,2026,7.235,27.5142,90.4336
India,South Asia,2011,1214.62,20.5937,78.9629
Fiji,Oceania,2011,3.9,-17.7134,178.065
Estonia,Europe,2004,21.177,58.5953,25.0136
Belgium,Europe,2010,333.5,50.5039,4.4699
India,South Asia,2005,744.203,20.5937,78.9629
Costa Rica,Central America,2010,23.193,9.7489,-83.7534
Bhutan,South Asia,2017,4.088,27.5142,90.4336
Romania,Europe,2009,162.363,45.9432,24.9668
Fiji,Oceania,2021,4.623,-17.7134,178.065
Singapore,Asia,2024,438.45,1.3521,103.8198
Mexico,North America,2019,1223.05,23.6345,-102.5528
India,South Asia,2008,1004.178,20.5937,78.9629
Singapore,Asia,2023,384.298,1.3521,103.8198
Fiji,Oceania,2008,3.479,-17.7134,178.065
Romania,Europe,2011,164.601,45.9432,24.9668
Fiji,Oceania,2012,3.782,-17.7134,178.065
Belgium,Europe,2009,307.501,50.5039,4.4699
Bhutan,South Asia,2021,5.682,27.5142,90.4336
Belgium,Europe,2013,324.598,50.5039,4.4699
Romania,Europe,2014,167.002,45.9432,24.9668
Fiji,Oceania,2022,4.951,-17.7134,178.065
Bhutan,South Asia,2011,2.826,27.5142,90.4336
Estonia,Europe,2006,20.334,58.5953,25.0136
India,South Asia,2007,863.927,20.5937,78.9629
Nepal,South Asia,2022,13.768,28.3949,84.124
Belgium,Europe,2019,331.818,50.5039,4.4699
Singapore,Asia,2024,439.704,1.3521,103.8198
Fiji,Oceania,2014,4.284,-17.7134,178.065
Nepal,South Asia,2009,7.82,28.3949,84.124
Belgium,Europe,2022,399.879,50.5039,4.4699
India,South Asia,2023,3240.525,20.5937,78.9629
Bhutan,South Asia,2018,4.797,27.5142,90.4336
Estonia,Europe,2023,31.755,58.5953,25.0136
Bhutan,South Asia,2019,4.344,27.5142,90.4336
Singapore,Asia,2008,219.391,1.3521,103.8198
Nepal,South Asia,2007,6.65,28.3949,84.124
India,South Asia,2022,2667.521,20.5937,78.9629
India,South Asia,2021,2642.651,20.5937,78.9629
Estonia,Europe,2012,26.743,58.5953,25.0136
