id,title,type,release_year,genre,country,duration,rating,description
42,Title 0042,Movie,1990,Family,Canada,84 min,3.2,A sci-fi adventure about survival in harsh times set against a modern backdrop.
43,Title 0043,Movie,1982,Mystery,Spain,79 min,6.2,A gripping tale of survival in harsh times set against a modern backdrop.
44,Title 0044,TV Show,1999,Fantasy,Germany,3 Seasons,8.5,An emotional journey about a search for identity that will keep you on the edge of your seat.
45,Title 0045,Movie,2017,Crime,Japan,167 min,7.1,A high-octane story of a search for identity that will keep you on the edge of your seat.
46,Title 0046,TV Show,2020,History,Netherlands,2 Seasons,6.0,A sci-fi adventure about the clash of cultures that redefines the genre.
47,Title 0047,Movie,1982,Music|Sci-Fi,Mexico,87 min,2.2,A heartwarming story of survival in harsh times set against a modern backdrop.
48,Title 0048,Movie,1973,Crime,France,134 min,7.7,A thrilling mystery about the fight for justice that redefines the genre.
49,Title 0049,Movie,2010,Fantasy,Brazil,126 min,2.1,A gripping tale of the price of fame set against a modern backdrop.
50,Title 0050,Movie,2010,Mystery,Germany,99 min,2.2,An emotional journey about survival in harsh times that will keep you on the edge of your seat.
51,Title 0051,TV Show,1977,Family,Japan,3 Seasons,3.3,A quirky comedy following the fight for justice that will keep you on the edge of your seat.
52,Title 0052,TV Show,2007,Sci-Fi,Canada,7 Seasons,7.8,An emotional journey about a coming-of-age moment with stunning performances.
53,Title 0053,TV Show,1992,Fantasy,South Korea,5 Seasons,6.4,An emotional journey about friendship and betrayal that blends humor and pathos.
54,Title 0054,TV Show,1990,Fantasy,United States,4 Seasons,3.3,An emotional journey about survival in harsh times that will keep you on the edge of your seat.
55,Title 0055,Movie,1988,Sci-Fi,Japan,96 min,7.8,A high-octane story of the fight for justice set against a modern backdrop.
56,Title 0056,TV Show,1998,Horror,United States,7 Seasons,6.0,A heartwarming story of love and loss with stunning performances.
57,Title 0057,Movie,1966,Sci-Fi,Australia,166 min,4.9,A heartwarming story of a search for identity that blends humor and pathos.
58,Title 0058,Movie,2019,Sci-Fi,India,82 min,1.8,A high-octane story of love and loss that will keep you on the edge of your seat.
59,Title 0059,Movie,2019,Animation,Brazil,115 min,3.4,A documentary exploring friendship and betrayal that blends humor and pathos.
60,Title 0060,Movie,2014,Drama,United States,142 min,2.4,A sci-fi adventure about a coming-of-age moment in a beautifully shot setting.
61,Title 0061,Movie,2023,Documentary,United States,98 min,5.7,A documentary exploring the price of fame with stunning performances.
62,Title 0062,Movie,1954,Comedy,Italy,90 min,9.4,An emotional journey about survival in harsh times that redefines the genre.
63,Title 0063,TV Show,1951,History,Italy,1 Seasons,2.6,A high-octane story of the clash of cultures in a beautifully shot setting.
64,Title 0064,Movie,1971,Animation,United Kingdom,141 min,8.7,A heartwarming story of the clash of cultures in a beautifully shot setting.
65,Title 0065,Movie,2006,Thriller,Netherlands,166 min,2.1,An intimate portrait of survival in harsh times that blends humor and pathos.
66,Title 0066,Movie,2015,Thriller,Canada,160 min,7.9,An intimate portrait of the fight for justice that will keep you on the edge of your seat.
67,Title 0067,Movie,2023,Crime,Australia,84 min,1.9,An epic saga about power and corruption with stunning performances.
68,Title 0068,TV Show,1965,Drama,Japan,1 Seasons,2.7,A sci-fi adventure about the clash of cultures set against a modern backdrop.
69,Title 0069,Movie,2000,Family,Canada,119 min,4.4,A documentary exploring love and loss that will keep you on the edge of your seat.
70,Title 0070,TV Show,1988,Comedy|History,Netherlands,2 Seasons,6.0,A high-octane story of power and corruption with unexpected twists and heartfelt moments.
71,Title 0071,TV Show,1989,Sci-Fi,Sweden,7 Seasons,2.6,A documentary exploring love and loss in a beautifully shot setting.
72,Title 0072,Movie,1987,Crime,South Korea,159 min,7.6,A gripping tale of a search for identity with unexpected twists and heartfelt moments.
73,Title 0073,Movie,2009,Comedy,Netherlands,88 min,3.7,A quirky comedy following love and loss set against a modern backdrop.
74,Title 0074,TV Show,2008,Mystery,South Korea,5 Seasons,1.6,A quirky comedy following love and loss with unexpected twists and heartfelt moments.
75,Title 0075,TV Show,1959,Action,Brazil,6 Seasons,2.1,A thrilling mystery about survival in harsh times that blends humor and pathos.
76,Title 0076,TV Show,2013,Fantasy,Australia,7 Seasons,6.3,A documentary exploring a coming-of-age moment with unexpected twists and heartfelt moments.
77,Title 0077,TV Show,2012,Comedy|Drama,Spain,1 Seasons,4.0,A heartwarming story of love and loss set against a modern backdrop.
78,Title 0078,Movie,1998,Thriller,Mexico,169 min,6.7,A quirky comedy following love and loss that will keep you on the edge of your seat.
79,Title 0079,Movie,2013,Sci-Fi,South Korea,89 min,4.2,A heartwarming story of a search for identity set against a modern backdrop.
80,Title 0080,Movie,1981,Comedy|Mystery,Netherlands,122 min,8.3,A quirky comedy following a search for identity set against a modern backdrop.
81,Title 0081,TV Show,1956,Animation,South Korea,1 Seasons,3.4,A quirky comedy following the fight for justice that will keep you on the edge of your seat.
82,Title 0082,Movie,1970,Romance,Germany,162 min,7.7,A gripping tale of power and corruption that will keep you on the edge of your seat.
83,Title 0083,Movie,1969,Action,Spain,146 min,7.0,An emotional journey about power and corruption with stunning performances.
84,Title 0084,Movie,1975,History,Sweden,94 min,3.4,A heartwarming story of the clash of cultures that blends humor and pathos.
85,Title 0085,Movie,2017,History,Netherlands,178 min,9.0,A high-octane story of family ties with stunning performances.
86,Title 0086,Movie,1964,Documentary,Netherlands,169 min,4.1,A heartwarming story of friendship and betrayal that will keep you on the edge of your seat.
87,Title 0087,TV Show,1963,History,Germany,2 Seasons,8.7,A heartwarming story of survival in harsh times with unexpected twists and heartfelt moments.
88,Title 0088,Movie,1976,Music|Mystery,United Kingdom,135 min,5.1,A heartwarming story of friendship and betrayal with stunning performances.
89,Title 0089,TV Show,1989,Action,Canada,7 Seasons,5.8,An epic saga about power and corruption with unexpected twists and heartfelt moments.
90,Title 0090,Movie,2007,Music,Sweden,159 min,3.7,A high-octane story of survival in harsh times set against a modern backdrop.
91,Title 0091,Movie,1977,Action,France,83 min,3.8,A thrilling mystery about love and loss with stunning performances.
92,Title 0092,TV Show,1975,Music,Australia,6 Seasons,1.7,A thrilling mystery about a search for identity that redefines the genre.
93,Title 0093,TV Show,2012,Family|Fantasy,Germany,2 Seasons,2.8,A gripping tale of the price of fame with unexpected twists and heartfelt moments.
94,Title 0094,Movie,2015,Animation,Australia,130 min,5.6,A gripping tale of the price of fame in a beautifully shot setting.
95,Title 0095,TV Show,1974,Thriller,Brazil,5 Seasons,2.3,A thrilling mystery about the fight for justice in a beautifully shot setting.
96,Title 0096,Movie,1952,Comedy,France,80 min,9.2,A sci-fi adventure about survival in harsh times with unexpected twists and heartfelt moments.
97,Title 0097,Movie,2021,Mystery,France,143 min,4.0,A gripping tale of a search for identity with stunning performances.
98,Title 0098,Movie,1993,Crime,Brazil,83 min,1.9,A high-octane story of power and corruption that redefines the genre.
99,Title 0099,Movie,1991,Crime,Netherlands,159 min,4.5,A thrilling mystery about the clash of cultures with unexpected twists and heartfelt moments.
100,Title 0100,Movie,1955,Fantasy,United Kingdom,160 min,3.8,An intimate portrait of a search for identity with unexpected twists and heartfelt moments.
101,Title 0101,Movie,1988,Horror,Germany,91 min,4.0,A heartwarming story of love and loss in a beautifully shot setting.
102,Title 0102,Movie,2001,Action,France,147 min,7.7,A heartwarming story of family ties in a beautifully shot setting.
103,Title 0103,Movie,1972,Romance,France,111 min,5.1,A documentary exploring friendship and betrayal with unexpected twists and heartfelt moments.
104,Title 0104,Movie,1999,Action,France,116 min,6.8,A sci-fi adventure about the clash of cultures that blends humor and pathos.
105,Title 0105,TV Show,1992,Sci-Fi,Japan,4 Seasons,9.0,An epic saga about survival in harsh times in a beautifully shot setting.
106,Title 0106,Movie,1968,Music,Netherlands,140 min,2.4,A quirky comedy following the price of fame with unexpected twists and heartfelt moments.
107,Title 0107,Movie,2018,Crime,Spain,179 min,5.5,A sci-fi adventure about power and corruption set against a modern backdrop.
108,Title 0108,TV Show,2000,Music,Canada,2 Seasons,3.5,An intimate portrait of survival in harsh times with stunning performances.
109,Title 0109,Movie,1960,Documentary,United States,153 min,3.7,A gripping tale of survival in harsh times that redefines the genre.
110,Title 0110,Movie,1961,Fantasy|Music,United Kingdom,148 min,3.2,An epic saga about the fight for justice that blends humor and pathos.
111,Title 0111,Movie,2023,Action,Brazil,106 min,6.0,A heartwarming story of a coming-of-age moment that redefines the genre.
112,Title 0112,Movie,1957,Documentary,Spain,129 min,7.2,A gripping tale of the price of fame with stunning performances.
113,Title 0113,TV Show,1973,Action,India,5 Seasons,4.1,A documentary exploring a coming-of-age moment set against a modern backdrop.
114,Title 0114,TV Show,1990,Action,Netherlands,7 Seasons,3.2,An emotional journey about a coming-of-age moment that will keep you on the edge of your seat.
115,Title 0115,Movie,1985,Sci-Fi,Spain,115 min,8.1,A documentary exploring a search for identity in a beautifully shot setting.
116,Title 0116,TV Show,2021,Music,Netherlands,6 Seasons,2.6,An epic saga about the clash of cultures with stunning performances.
117,Title 0117,TV Show,2004,History,South Korea,2 Seasons,6.5,A heartwarming story of a search for identity that redefines the genre.
118,Title 0118,Movie,1958,Mystery,Sweden,171 min,7.7,An epic saga about a coming-of-age moment with unexpected twists and heartfelt moments.
119,Title 0119,TV Show,1996,Action|Fantasy,Spain,6 Seasons,3.0,An intimate portrait of a search for identity that redefines the genre.
120,Title 0120,Movie,1964,Action,Australia,111 min,4.9,An epic saga about the price of fame that blends humor and pathos.
121,Title 0121,TV Show,1997,Action,Australia,1 Seasons,3.1,A thrilling mystery about power and corruption in a beautifully shot setting.
122,Title 0122,TV Show,1991,Documentary,India,2 Seasons,8.6,A high-octane story of the fight for justice that blends humor and pathos.
123,Title 0123,Movie,2009,Mystery,Canada,117 min,5.5,An emotional journey about the fight for justice that redefines the genre.
124,Title 0124,Movie,2019,Family|Sci-Fi,France,128 min,7.7,A gripping tale of survival in harsh times with stunning performances.
125,Title 0125,Movie,1961,Horror,Netherlands,172 min,6.0,A sci-fi adventure about friendship and betrayal with stunning performances.
126,Title 0126,Movie,1951,Animation,France,113 min,7.9,An epic saga about friendship and betrayal with unexpected twists and heartfelt moments.
127,Title 0127,TV Show,1956,Music,France,6 Seasons,7.0,A heartwarming story of a search for identity that blends humor and pathos.
128,Title 0128,TV Show,1952,Family,Mexico,2 Seasons,7.9,A sci-fi adventure about survival in harsh times that redefines the genre.
129,Title 0129,Movie,1952,Romance,France,118 min,2.8,An epic saga about friendship and betrayal that redefines the genre.
130,Title 0130,Movie,1976,Crime,Spain,134 min,2.1,A heartwarming story of family ties with stunning performances.
131,Title 0131,Movie,1989,History,India,125 min,8.1,A sci-fi adventure about a search for identity set against a modern backdrop.
132,Title 0132,Movie,1982,Animation|History,Spain,129 min,3.9,A gripping tale of the price of fame that blends humor and pathos.
133,Title 0133,Movie,1950,Documentary,Sweden,108 min,3.7,An epic saga about family ties set against a modern backdrop.
134,Title 0134,Movie,1957,Horror,Germany,118 min,1.8,A high-octane story of a coming-of-age moment with unexpected twists and heartfelt moments.
135,Title 0135,TV Show,1981,Horror|Music,Australia,1 Seasons,3.2,A heartwarming story of love and loss with stunning performances.
136,Title 0136,Movie,1997,Sci-Fi,United States,103 min,1.6,A documentary exploring friendship and betrayal with unexpected twists and heartfelt moments.
137,Title 0137,Movie,1953,Crime,United Kingdom,100 min,7.3,A gripping tale of friendship and betrayal that will keep you on the edge of your seat.
138,Title 0138,TV Show,2019,Drama|Fantasy,Italy,4 Seasons,7.8,A quirky comedy following survival in harsh times that will keep you on the edge of your seat.
139,Title 0139,Movie,1968,Crime,United Kingdom,164 min,3.5,A sci-fi adventure about survival in harsh times that redefines the genre.
140,Title 0140,TV Show,1981,Romance,Mexico,5 Seasons,4.4,A thrilling mystery about family ties in a beautifully shot setting.
141,Title 0141,TV Show,1958,Mystery,Brazil,1 Seasons,1.6,An emotional journey about family ties with unexpected twists and heartfelt moments.
142,Title 0142,Movie,1961,Animation,United States,123 min,5.8,An intimate portrait of the clash of cultures that blends humor and pathos.
143,Title 0143,Movie,1960,Horror,Brazil,163 min,7.5,A high-octane story of the price of fame in a beautifully shot setting.
144,Title 0144,Movie,1995,Fantasy,Spain,173 min,5.6,A high-octane story of the price of fame that blends humor and pathos.
145,Title 0145,Movie,1965,Romance,Sweden,147 min,2.2,A sci-fi adventure about the price of fame with stunning performances.
146,Title 0146,Movie,1950,Music,United States,159 min,2.8,A thrilling mystery about a search for identity that redefines the genre.
147,Title 0147,Movie,2012,Thriller,United Kingdom,128 min,4.0,A documentary exploring power and corruption set against a modern backdrop.
148,Title 0148,Movie,1970,Fantasy,Japan,156 min,2.2,An emotional journey about the fight for justice with unexpected twists and heartfelt moments.
149,Title 0149,Movie,1979,History,Sweden,97 min,3.0,An epic saga about family ties that redefines the genre.
150,Title 0150,Movie,1962,Mystery,South Korea,143 min,6.5,An intimate portrait of the clash of cultures with stunning performances.
151,Title 0151,TV Show,1983,Music,Japan,6 Seasons,3.7,An epic saga about the fight for justice with stunning performances.
152,Title 0152,Movie,1953,Animation,Australia,86 min,6.8,A thrilling mystery about survival in harsh times with stunning performances.
153,Title 0153,Movie,1977,Romance,Netherlands,134 min,7.6,An epic saga about survival in harsh times with stunning performances.
154,Title 0154,Movie,2008,Animation,Italy,138 min,5.4,A heartwarming story of power and corruption set against a modern backdrop.
155,Title 0155,TV Show,1976,Fantasy,Germany,3 Seasons,5.9,A quirky comedy following a coming-of-age moment that will keep you on the edge of your seat.
156,Title 0156,Movie,2018,Music,Australia,164 min,3.2,A thrilling mystery about love and loss in a beautifully shot setting.
157,Title 0157,TV Show,1974,History,Australia,2 Seasons,8.8,A documentary exploring friendship and betrayal in a beautifully shot setting.
158,Title 0158,TV Show,1952,Comedy,Canada,7 Seasons,7.4,A heartwarming story of a coming-of-age moment in a beautifully shot setting.
159,Title 0159,Movie,2017,Action,Brazil,176 min,4.8,An epic saga about a coming-of-age moment that redefines the genre.
160,Title 0160,TV Show,1974,Drama,United Kingdom,6 Seasons,2.9,An intimate portrait of survival in harsh times that redefines the genre.
161,Title 0161,Movie,1969,Action,Australia,145 min,6.2,A sci-fi adventure about power and corruption that redefines the genre.
162,Title 0162,Movie,1983,Family,Germany,120 min,7.9,A heartwarming story of a search for identity with unexpected twists and heartfelt moments.
163,Title 0163,Movie,1975,Mystery,Japan,104 min,9.3,An intimate portrait of love and loss with unexpected twists and heartfelt moments.
164,Title 0164,Movie,1954,Comedy,Brazil,170 min,4.2,A high-octane story of power and corruption set against a modern backdrop.
165,Title 0165,Movie,2010,Family,Mexico,169 min,2.5,A quirky comedy following survival in harsh times that will keep you on the edge of your seat.
166,Title 0166,TV Show,1958,Sci-Fi,Australia,3 Seasons,6.7,A sci-fi adventure about a search for identity in a beautifully shot setting.
167,Title 0167,Movie,1999,Comedy,Sweden,121 min,7.8,A high-octane story of love and loss that will keep you on the edge of your seat.
168,Title 0168,Movie,1955,Documentary,Australia,110 min,5.9,A gripping tale of a search for identity that will keep you on the edge of your seat.
169,Title 0169,Movie,2009,Drama,United States,91 min,1.9,A documentary exploring love and loss that blends humor and pathos.
170,Title 0170,Movie,1993,Crime,Sweden,76 min,5.8,An epic saga about the price of fame with stunning performances.
171,Title 0171,TV Show,1960,Animation,Australia,3 Seasons,1.8,An epic saga about a coming-of-age moment that redefines the genre.
172,Title 0172,Movie,2015,Documentary|Drama,Australia,83 min,1.7,An epic saga about the price of fame with stunning performances.
173,Title 0173,Movie,1996,Horror,Japan,162 min,5.5,An emotional journey about the clash of cultures that blends humor and pathos.
174,Title 0174,Movie,2022,Drama,India,85 min,2.9,A quirky comedy following the clash of cultures with unexpected twists and heartfelt moments.
175,Title 0175,Movie,1952,Action,United Kingdom,151 min,7.6,A documentary exploring the fight for justice in a beautifully shot setting.
176,Title 0176,Movie,1979,Music,Italy,132 min,6.6,A high-octane story of a search for identity that redefines the genre.
177,Title 0177,TV Show,1970,History|Sci-Fi,Australia,5 Seasons,7.6,A sci-fi adventure about the fight for justice with unexpected twists and heartfelt moments.
178,Title 0178,Movie,1977,Animation,United States,101 min,5.1,A sci-fi adventure about the price of fame with stunning performances.
179,Title 0179,TV Show,2011,Crime,Canada,2 Seasons,6.8,An intimate portrait of the price of fame that will keep you on the edge of your seat.
180,Title 0180,Movie,1982,Documentary,South Korea,127 min,6.7,An emotional journey about family ties set against a modern backdrop.
181,Title 0181,Movie,1984,Sci-Fi,Brazil,79 min,4.9,A sci-fi adventure about a coming-of-age moment with unexpected twists and heartfelt moments.
182,Title 0182,Movie,2001,Action,Australia,162 min,2.5,An intimate portrait of a coming-of-age moment set against a modern backdrop.
183,Title 0183,TV Show,1983,Action,Netherlands,7 Seasons,6.3,An intimate portrait of the clash of cultures that blends humor and pathos.
184,Title 0184,TV Show,1990,History,Canada,2 Seasons,3.5,A heartwarming story of the price of fame in a beautifully shot setting.
185,Title 0185,Movie,2000,Crime,India,82 min,5.4,An intimate portrait of family ties set against a modern backdrop.
186,Title 0186,TV Show,1996,Documentary,Mexico,7 Seasons,6.7,An intimate portrait of the clash of cultures that blends humor and pathos.
187,Title 0187,TV Show,2007,Animation,Netherlands,4 Seasons,7.8,An intimate portrait of a coming-of-age moment set against a modern backdrop.
188,Title 0188,Movie,2024,Mystery,Australia,144 min,5.6,A heartwarming story of love and loss in a beautifully shot setting.
189,Title 0189,Movie,2006,Sci-Fi,Japan,130 min,3.8,An emotional journey about the clash of cultures set against a modern backdrop.
190,Title 0190,Movie,1972,Mystery,Germany,86 min,9.2,A sci-fi adventure about love and loss set against a modern backdrop.
191,Title 0191,Movie,1997,Action,Spain,172 min,2.7,A sci-fi adventure about the clash of cultures set against a modern backdrop.
192,Title 0192,TV Show,1971,Crime,Sweden,7 Seasons,9.1,An intimate portrait of the clash of cultures set against a modern backdrop.
193,Title 0193,TV Show,1966,Music,India,4 Seasons,1.5,An epic saga about a search for identity that blends humor and pathos.
194,Title 0194,Movie,2018,History,Australia,156 min,4.5,A quirky comedy following the clash of cultures that redefines the genre.
195,Title 0195,Movie,1960,Fantasy,Japan,127 min,1.6,An emotional journey about a coming-of-age moment with unexpected twists and heartfelt moments.
196,Title 0196,Movie,1964,Thriller,Germany,127 min,9.0,An emotional journey about family ties with unexpected twists and heartfelt moments.
197,Title 0197,TV Show,1984,Mystery,Japan,7 Seasons,6.8,An intimate portrait of the fight for justice with stunning performances.
198,Title 0198,TV Show,1982,Family,United States,3 Seasons,3.5,An epic saga about the price of fame with unexpected twists and heartfelt moments.
199,Title 0199,TV Show,1965,Thriller,United Kingdom,1 Seasons,3.2,A heartwarming story of a search for identity with stunning performances.
200,Title 0200,TV Show,1983,Crime,Sweden,1 Seasons,7.1,A documentary exploring a coming-of-age moment that redefines the genre.
201,Title 0201,Movie,2015,Action,South Korea,138 min,9.5,A thrilling mystery about the clash of cultures with stunning performances.
202,Title 0202,Movie,1989,Crime,Japan,145 min,6.3,A gripping tale of survival in harsh times with unexpected twists and heartfelt moments.
203,Title 0203,Movie,1977,Documentary,Netherlands,137 min,2.5,An intimate portrait of a coming-of-age moment that blends humor and pathos.
204,Title 0204,TV Show,1996,Comedy,United States,2 Seasons,6.5,A sci-fi adventure about survival in harsh times that blends humor and pathos.
205,Title 0205,Movie,1988,Romance,South Korea,86 min,8.2,A gripping tale of a search for identity that redefines the genre.
206,Title 0206,Movie,2019,Action,Sweden,157 min,7.7,An emotional journey about a coming-of-age moment set against a modern backdrop.
207,Title 0207,Movie,2022,Fantasy,India,165 min,7.3,An epic saga about love and loss in a beautifully shot setting.
208,Title 0208,TV Show,1969,Romance,France,4 Seasons,6.6,An epic saga about a coming-of-age moment that will keep you on the edge of your seat.
209,Title 0209,Movie,1950,Family,India,140 min,4.7,A heartwarming story of survival in harsh times in a beautifully shot setting.
210,Title 0210,Movie,2021,Mystery,Netherlands,173 min,6.2,A quirky comedy following the price of fame with unexpected twists and heartfelt moments.
211,Title 0211,Movie,2012,Music,Sweden,139 min,1.7,A heartwarming story of power and corruption with stunning performances.
212,Title 0212,TV Show,2016,Romance,Sweden,3 Seasons,5.9,A gripping tale of love and loss that blends humor and pathos.
213,Title 0213,TV Show,1953,Fantasy,Italy,2 Seasons,2.5,A sci-fi adventure about a coming-of-age moment with stunning performances.
214,Title 0214,Movie,2007,Sci-Fi,South Korea,145 min,8.4,An epic saga about power and corruption with unexpected twists and heartfelt moments.
215,Title 0215,TV Show,1974,Music,South Korea,7 Seasons,8.3,A heartwarming story of a coming-of-age moment with unexpected twists and heartfelt moments.
216,Title 0216,Movie,1996,Action|Mystery,Canada,174 min,7.3,A sci-fi adventure about the fight for justice that will keep you on the edge of your seat.
217,Title 0217,Movie,1987,Horror,United States,178 min,9.5,A thrilling mystery about a coming-of-age moment that blends humor and pathos.
218,Title 0218,TV Show,1964,Horror,France,2 Seasons,4.0,A quirky comedy following a coming-of-age moment set against a modern backdrop.
219,Title 0219,Movie,2012,Family,Italy,131 min,6.4,A thrilling mystery about the price of fame with stunning performances.
220,Title 0220,TV Show,1970,Comedy,South Korea,2 Seasons,3.5,An epic saga about friendship and betrayal that blends humor and pathos.
221,Title 0221,TV Show,2006,Horror,Sweden,7 Seasons,2.2,A quirky comedy following the price of fame that redefines the genre.
222,Title 0222,Movie,2002,Romance|Thriller,Italy,117 min,4.1,A heartwarming story of the price of fame with stunning performances.
223,Title 0223,Movie,1995,Fantasy,Spain,155 min,5.0,A documentary exploring the fight for justice with unexpected twists and heartfelt moments.
224,Title 0224,Movie,1963,Mystery,Netherlands,154 min,7.0,An epic saga about a search for identity set against a modern backdrop.
225,Title 0225,Movie,1966,Action|Comedy,Spain,86 min,8.2,An intimate portrait of survival in harsh times that blends humor and pathos.
226,Title 0226,Movie,1988,Horror,United Kingdom,163 min,2.5,An emotional journey about a coming-of-age moment that will keep you on the edge of your seat.
227,Title 0227,TV Show,1958,Romance,Netherlands,7 Seasons,8.9,A gripping tale of friendship and betrayal with unexpected twists and heartfelt moments.
228,Title 0228,Movie,1955,Drama,Australia,93 min,5.5,A thrilling mystery about power and corruption that redefines the genre.
229,Title 0229,TV Show,1972,Action,South Korea,7 Seasons,8.7,A heartwarming story of the clash of cultures that blends humor and pathos.
230,Title 0230,Movie,2008,Documentary,India,123 min,3.8,A quirky comedy following the price of fame in a beautifully shot setting.
231,Title 0231,TV Show,1995,Animation,Spain,2 Seasons,8.6,A high-octane story of a coming-of-age moment in a beautifully shot setting.
232,Title 0232,Movie,1987,Action,Japan,160 min,4.1,An intimate portrait of a coming-of-age moment with unexpected twists and heartfelt moments.
233,Title 0233,Movie,1963,Drama,Netherlands,144 min,2.7,An epic saga about love and loss that blends humor and pathos.
234,Title 0234,Movie,2021,Documentary,United Kingdom,113 min,8.0,An epic saga about power and corruption in a beautifully shot setting.
235,Title 0235,Movie,2011,Crime,France,113 min,8.1,An intimate portrait of a coming-of-age moment with stunning performances.
236,Title 0236,TV Show,1984,Action,France,4 Seasons,5.9,An epic saga about the price of fame that will keep you on the edge of your seat.
237,Title 0237,Movie,1968,Animation,Germany,112 min,4.6,A sci-fi adventure about love and loss that blends humor and pathos.
